espécie                                                 , cão                                   , gato                               , cavalo                           , comentários                                                                                                                                        , referências
Frequência cardíaca (FC)                                , "70-220 bpm (cães)
                                                          70-180 bpm (raças toy)
                                                          70-160 bpm (raças standard)
                                                          60-140 bpm (raças grandes)"           , 120-240 bpm                        , 28-40 bpm                        , "As bradiarritmias são comuns após a administração de agonistas α2-adrenérgicos.
                                                                                                                                                                          As bradiarritmias são comuns em cães braquicefálicos e cavalos em repouso.
                                                                                                                                                                          Não é comum observar FCs próximas ao limite inferior em gatos conscientes."                                                                        , "Feitosa FLF. Semiologia veterinária: a arte do diagnóstico. Rio de Janeiro: Roca; 2025.
                                                                                                                                                                                                                                                                                                                               Lee JA, Drobatz KJ. Historical and physical parameters as predictors of severe hyperkalemia in male cats with urethral obstruction. Journal of Veterinary Emergency and Critical Care. 2006 Jun;16(2):104–11."
Pressão arterial sistólica (PAS)                        , 100-160 mmHg                          , 110-180 mmHg                        , 120-180 mmHg                        , "Considera-se como pré-hipertenso o animal cuja PAS é 140-159 mmHg.
                                                                                                                                                                          Pode ser subestimada pelo método Doppler em mais de 20 mmHg em cães anestesiados."                                                                 , "Feitosa FLF. Semiologia veterinária: a arte do diagnóstico. Rio de Janeiro: Roca; 2025.
                                                                                                                                                                                                                                                                                                                               Ambrósio AM, Fantoni DT. Manual de anestesia veterinária: procedimentos e condutas. São Paulo: Manole; 2024.
                                                                                                                                                                                                                                                                                                                               Garofalo NA, Teixeira Neto FJ, Alvaides RK, de Oliveira FA, Pignaton W, Pinheiro RT. Agreement between direct, oscillometric and Doppler ultrasound blood pressures using three different cuff positions in anesthetized dogs. Vet Anaesth Analg. 2012 Jul;39(4):324-34."
Pressão arterial média (PAM)                            , 65-120 mmHg                           , 60-120 mmHg                         , 80-120 mmHg                         , "A PAM pode ser estimada pela fórmula: PAM = PAD + (PAS - PAD) / 3, apesar de o cálculo correto envolver uma integral da área sob curva da pressão.
                                                                                                                                                                          O intervalo de concordância para o método oscilométrico é de -17 a 13 mmHg em cães anestesiados.
                                                                                                                                                                          Mesmo períodos curtos de hipotensão estão associados a lesão renal aguda e miocárdica em humanos.
                                                                                                                                                                          A PAM deve ser mantida acima de 70 mmHg para a adequada perfusão muscular em cavalos em decúbito."                                                 , "Ambrósio AM, Fantoni DT. Manual de anestesia veterinária: procedimentos e condutas. São Paulo: Manole; 2024.
                                                                                                                                                                                                                                                                                                                               Garofalo NA, Teixeira Neto FJ, Alvaides RK, de Oliveira FA, Pignaton W, Pinheiro RT. Agreement between direct, oscillometric and Doppler ultrasound blood pressures using three different cuff positions in anesthetized dogs. Vet Anaesth Analg. 2012 Jul;39(4):324-34.
                                                                                                                                                                                                                                                                                                                               Walsh M, Devereaux PJ, Garg AX, Kurz A, Turan A, Rodseth RN et al. Relationship between intraoperative mean arterial pressure and clinical outcomes after noncardiac surgery: toward an empirical definition of hypotension. Anesthesiology. 2013 Sep;119(3):507-15.
                                                                                                                                                                                                                                                                                                                               Luna SPL, Carregaro AB. Anestesia e analgesia em equídeos, ruminantes e suínos. São Paulo: MedVet; 2018."
Pressão arterial diastólica (PAD)                       , 60-100 mmHg                           , 60-100 mmHg                         , 60-80 mmHg                          , Pressão de perfusão coronariana (PPC) = PAD - pressão diastólica final do ventrículo esquerdo (PDFVE)                                              , "Ambrósio AM, Fantoni DT. Manual de anestesia veterinária: procedimentos e condutas. São Paulo: Manole; 2024."
Pressão venosa central (PVC)                            , "Até 7-10 cmH2O, geralmente 0-5 cmH2O",                                    , "15-25 cmH2O (decúbito lateral)
                                                                                                                                       5-10 cmH2O (decúbito dorsal)
                                                                                                                                       5-6 cmH2O (pônei normovolêmico)" , "Fator de conversão: 1 mmHg = 1,36 cmH2O
                                                                                                                                                                          Para cada 10 cm que o transdutor está posicionado abaixo/acima do átrio direito, a pressão invasiva aumenta/diminui em 7,4 mmHg."                  , "Luna SPL, Carregaro AB. Anestesia e analgesia em equídeos, ruminantes e suínos. São Paulo: MedVet; 2018.
                                                                                                                                                                                                                                                                                                                               Veterinary Anesthesia and Analgesia, The 6th Edition of Lumb and Jones. Reino Unido: Wiley, 2024."
Volume sistólico (VS)                                   , "1,6-1,9 ml/batimento/kg"             , "0,9-1 ml/batimento/kg"            , "2,6-3 ml/batimento/kg"          ,                                                                                                                                                    , "Veterinary Anesthesia and Analgesia, The 6th Edition of Lumb and Jones. Reino Unido: Wiley, 2024."
Índice cardíaco (IC)                                    , 190-230 ml/kg/min                     , 160-180 ml/kg/min                  , 115-135 ml/kg/min                ,                                                                                                                                                    , "Veterinary Anesthesia and Analgesia, The 6th Edition of Lumb and Jones. Reino Unido: Wiley, 2024."
Frequência respiratória (FR)                            , 12-36 rpm                             , 20-40 rpm                          , 12-20 rpm                        ,                                                                                                                                                    , Feitosa FLF. Semiologia veterinária: a arte do diagnóstico. Rio de Janeiro: Roca; 2025.
Volume corrente (Vt)                                    , "13 ± 6 mL/kg (Beagle)
                                                          18 ± 9 mL/kg (mesocefálico)
                                                          25 ± 7 mL/kg (dolicocefálico)"        , 14 ± 4 mL/kg                       , 15 ± 2 mL/kg                     , "O espaço morto fisiológico (Vdphys) é 7,2 ± 1,4 mL/kg no cão e 4,0 ± 0,3 mL/kg no gato."                                                          , "Fantoni DT, Ambrósio AM. Ventilação mecânica em medicina veterinária. São Paulo: Manole; 2023.
                                                                                                                                                                                                                                                                                                                               Girotto CH, Ospina-Argüelles DA, Teixeira-Neto FJ, Assis-Vieira PV, Martins ARC, Kerr C. Dead space volumes in cats and dogs with small body mass ventilated with a fixed tidal volume. Vet Anaesth Analg. 2024 Nov-Dec;51(6):585-593."
Saturação arterial de O2 (SpO2)                         , "A partir de 95% (FiO2 1,0)"          ,                                    , Acima de 93%                     , A hipoxemia permissiva (88-92%) é tolerada em humanos sob ventilação mecânica prolongada.                                                          , "Luna SPL, Carregaro AB. Anestesia e analgesia em equídeos, ruminantes e suínos. São Paulo: MedVet; 2018.
                                                                                                                                                                                                                                                                                                                               Bailey K, Briley J, Duffee L, Duke-Novakovski T, Grubb T, Kruse-Elliott K et al. The American College of Veterinary Anesthesia and Analgesia Small Animal Anesthesia and Sedation Monitoring Guidelines 2025. Vet Anaesth Analg. 2025 Jul-Aug;52(4):377-385.
                                                                                                                                                                                                                                                                                                                               Panwar R, Hardie M, Bellomo R, Barrot L, Eastwood GM, Young PJ et al.; CLOSE Study Investigators; ANZICS Clinical Trials Group. Conservative versus Liberal Oxygenation Targets for Mechanically Ventilated Patients. A Pilot Multicenter Randomized Controlled Trial. Am J Respir Crit Care Med. 2016 Jan 1;193(1):43-51."
